EST_ORIGINAL_COMPLETION_DATE,coordinates,APPROXIMATE_GFA,FMEL_UPD_D,ADDRESS_MYENV,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,DESCRIPTION,ADDRESSBUILDINGNAME,ADDRESSBLOCKHOUSENUMBER,AWARDED_DATE,INC_CRC,PHOTOURL,NAME,INFO_ON_CO_LOCATORS,HUP_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,LANDXADDRESSPOINT,IMPLEMENTATION_DATE
15/11/2021,"103.850164578087,1.2844248503218,0.0",,20221017143612,,Market Street,48940,New Replacement Centre,CapitaSpring,50,17/7/2017,DB83871D0E006559,,Market Street Hawker Centre,hawker centre/commercial space,,Existing (replacement),29650.7,29874.82,1/8/2017
8/11/2017,"103.779784899996,1.43353885680037,0.0",3661,20221017143612,"Blk 4,Woodlands St 12,Singapore�738623",Woodlands Street 12,738623,New Replacement Centre,Marsiling Mall,4,4/9/2015,67D9A36B865FC1FB,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,Marsiling Mall Hawker Centre,hawker centre/supermarket/shops,,Existing (replacement),46139.03,22042.51,1/1/2016
30/3/2022,"103.804715225285,1.29748567106686,0.0",,20221017143612,,Margaret Drive,142038,New Replacement Centre,,38A,11/5/2015,C80F89698B7A8757,,Margaret Drive Hawker Centre,hawker centre/branch office/supermarket/shops/flats,,Existing (replacement),31094.91,24816.7,2/12/2015
22/3/2022,"103.877060478847,1.39159232727757,0.0",,20221017143612,,Sengkang West Avenue,797650,New Centre,"Fernvale Community Club, Hawker Centre & Market",21,30/7/2018,E3AB7D1743979E42,,Fernvale Hawker Centre & Market,hawker centre/market/community club,,Existing (new),41500.77,32867.9,13/8/2018
29/4/2022,"103.904805657576,1.40818996870647,0.0",,20221017143612,,Punggol Drive,828629,New Centre,One Punggol,1,8/8/2018,4780858D968F79C9,,One Punggol Hawker Centre,hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre,,Existing (new),43336.13,35955.52,29/8/2018
27/9/2022,"103.822484958307,1.44901674160031,0.0",,20221017143612,,Canberra Link,756973,New Centre,Bukit Canberra,21,1/5/2018,B85FF6B6AA88649C,,Bukit Canberra Hawker Centre,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,,Existing (new),47850.43,26794.39,17/5/2018
28/7/2022,"103.761017756804,1.38713573069818,0.0",,20221017143612,,Senja Close,677632,New Centre,,2,11/12/2018,739D3B1889BF778F,,Senja Hawker Centre,,,Existing (new),41008.06,19953.85,1/3/2019
2023,"103.892403203249,1.38238755827879,0.0",,20221017143612,,Compassvale Bow,544692,New Centre,Sengkang Grand Mall,72,18/9/2019,0FFF4B5257E65F57,,Buangkok Hawker Centre,hawker centre/community club/bus interchange/private residential and commercial units,,Under Construction,40482.99,34575.37,29/10/2019
2024,"103.741825836536,1.35521457121361,0.0",,20221017143612,,Bukit Batok West Avenue 9,651469,New Centre,Harmony Village,469A,31/12/2020,E3C2D62809A47B74,,Bukit Batok West Hawker Centre,hawker centre/flats,,Under Construction,37478.45,17817.9,21/1/2021
2027,"103.808078713674,1.27324863952078,0.0",,20221017143612,,Telok Blangah Drive,103078,New Replacement Centre,Telok Blangah Beacon,78C,29/4/2022,9BBE5ECFD4BA48D6,,Telok Blangah Hawker Centre & Market,hawker centre/market/flats,,Under Construction,28414.9,25191,20/5/2022
