PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,lon,lat
BEDOK,BD,N,EAST REGION,ER,5F00E6FF084F3364,20191223152014,103.932080144934,1.3055476965106
BOON LAY,BL,N,WEST REGION,WR,C96AED188C00B2FC,20191223152014,103.720424356295,1.32823958886107
BUKIT BATOK,BK,N,WEST REGION,WR,3BEC4C829160F28A,20191223152014,103.764078848716,1.37001140859472
BUKIT MERAH,BM,N,CENTRAL REGION,CR,4850795BB0B6A4F7,20191223152014,103.823614644329,1.26017768291763
BUKIT PANJANG,BP,N,WEST REGION,WR,656F87D23D6DAB02,20191223152014,103.774450261573,1.39028945327265
BUKIT TIMAH,BT,N,CENTRAL REGION,CR,DB3037AA30D8CCDD,20191223152014,103.797658114828,1.34812847309261
CENTRAL WATER CATCHMENT,CC,N,NORTH REGION,NR,6E462BF5EDEF7A52,20191223152014,103.807019599274,1.41125882526873
CHANGI,CH,N,EAST REGION,ER,9DA33276DBB29990,20191223152014,103.982359461755,1.39355723158046
CHOA CHU KANG,CK,N,WEST REGION,WR,BE26F2C074519A79,20191223152014,103.746596840417,1.40540894556712
CLEMENTI,CL,N,WEST REGION,WR,D5239EF08EE3CAC7,20191223152014,103.76706923941,1.33120211203349
HOUGANG,HG,N,NORTH-EAST REGION,NER,F84184E6D4F3B1DD,20191223152014,103.881516457454,1.38773886870307
JURONG EAST,JE,N,WEST REGION,WR,77E230E08D3989E7,20191223152014,"[103.711877509315, 1.29961016034075, 0.0]","[103.711866723174, 1.29861361987864, 0.0]"
JURONG WEST,JW,N,WEST REGION,WR,2DFF32E53038ED97,20191223152014,103.728129006625,1.34888025721539
PASIR RIS,PR,N,EAST REGION,ER,B375AD2AA1E8E3DB,20191223152014,103.934779117927,1.40098815497634
PIONEER,PN,N,WEST REGION,WR,461B748B5B30AD54,20191223152014,103.686109399956,1.32776831468573
PUNGGOL,PG,N,NORTH-EAST REGION,NER,DA6BAAC88FE4D2B4,20191223152014,103.910819889247,1.42146922528617
QUEENSTOWN,QT,N,CENTRAL REGION,CR,C0170DF008A88671,20191223152014,103.784600507252,1.31108988325032
SELETAR,SL,N,NORTH-EAST REGION,NER,45EB8645B0A7D462,20191223152014,"[103.897148584347, 1.41501842447015, 0.0]","[103.897414907152, 1.41490621091054, 0.0]"
SEMBAWANG,SB,N,NORTH REGION,NR,ECA1E5D6412DC621,20191223152014,103.817322358724,1.47077230004906
SENGKANG,SE,N,NORTH-EAST REGION,NER,3909BE3D6566DC6B,20191223152014,103.88847701668,1.40105335196099
SERANGOON,SG,N,NORTH-EAST REGION,NER,17813E1F4CEBB72E,20191223152014,103.882388674933,1.34452078004908
KALLANG,KL,N,CENTRAL REGION,CR,8805C45D2F327F92,20191223152014,103.86276760275,1.33029947239903
LIM CHU KANG,LK,N,NORTH REGION,NR,3C3E4E49D63013AD,20191223152014,103.722457132819,1.45116233935807
NORTH-EASTERN ISLANDS,NE,N,NORTH-EAST REGION,NER,DFC07A66C775BBE6,20191223152014,"[104.054079567182, 1.43230625221252, 0.0]","[104.05430908977, 1.43200591739943, 0.0]"
